id,name,image_url,is_mythic,into_items,from_items,gold_sell,gold_total,gold_base,gold_purchasable,plaintext,description
1101,Scorchclaw Pup,https://opgg-static.akamaized.net/meta/images/lol/item/1101.png,False,,,180,450,450,True,,<mainText><stats></stats><li><passive>Jungle Companions:</passive> Summon an <font color='#DD2E2E'>Scorchclaw</font> to assist you in the jungle.<li><passive>Scorchclaw's Slash:</passive> When fully grown your companion periodically imbues your next damaging effect to <status>Slow</status> and <passive>damage</passive> enemy champions.</mainText><br>
1102,Gustwalker Hatchling,https://opgg-static.akamaized.net/meta/images/lol/item/1102.png,False,,,180,450,450,True,,<mainText><stats></stats><li><passive>Jungle Companions:</passive> Summon a <font color='#38A8E8'>Gustwalker</font> to assist you while in the jungle.<li><passive>Gustwalker's Gait:</passive> When fully grown your companion grants <speed>Move Speed</speed> after entering brush or killing monsters.</mainText><br>
1103,Mosstomper Seedling,https://opgg-static.akamaized.net/meta/images/lol/item/1103.png,False,,,180,450,450,True,,<mainText><stats></stats><li><passive>Jungle Companions:</passive> Summon a <font color='#1CA935'>Mosstomper</font> to assist you while in the jungle. <li><passive>Mosstomper's Courage:</passive> When fully grown your companion grants a <shield>permanent shield</shield> that regenerates either after killing monsters or out of combat. While the shield holds gain 20% Tenacity and Slow Resist.</mainText><br>
1104,Eye of the Herald,https://opgg-static.akamaized.net/meta/images/lol/item/1104.png,False,,,0,0,0,False,,"<mainText><stats></stats><active>Active - Consume:</active> Crush the Eye of the Herald, summoning Rift Herald. The Herald will proceed down the nearest lane and deal massive damage to any turrets in the way.<br><br><passive>Glimpse of the Void:</passive> Grants Empowered Recall.<br></mainText><br>"
1500,Penetrating Bullets,https://opgg-static.akamaized.net/meta/images/lol/item/1500.png,False,,,0,0,0,False,,
1501,Fortification,https://opgg-static.akamaized.net/meta/images/lol/item/1501.png,False,,,0,0,0,False,,
1502,Reinforced Armor,https://opgg-static.akamaized.net/meta/images/lol/item/1502.png,False,,,0,0,0,False,,<mainText><stats></stats><unique>UNIQUE Passive - Reinforced Armor:</unique> Reduces incoming damage by 0% and becomes immune to True Damage when no enemy minions are nearby.</mainText><br>
1503,Warden's Eye,https://opgg-static.akamaized.net/meta/images/lol/item/1503.png,False,,,0,0,0,False,,
1504,Vanguard,https://opgg-static.akamaized.net/meta/images/lol/item/1504.png,False,,,0,0,0,False,,
1506,Reinforced Armor,https://opgg-static.akamaized.net/meta/images/lol/item/1506.png,False,,,0,0,0,False,,"<mainText><stats></stats><unique>UNIQUE Passive - Base Turret Reinforced Armor:</unique> Reduces incoming damage by 0% and becomes immune to True Damage when no enemy minions are nearby. Base turrets have health regeneration, but cannot regenerate past their current segment. Base turrets are segmented at 33%, 66% and 100% health.</mainText><br>"
1507,Overcharged,https://opgg-static.akamaized.net/meta/images/lol/item/1507.png,False,,,0,0,0,False,,
1508,Anti-tower Socks,https://opgg-static.akamaized.net/meta/images/lol/item/1508.png,False,,,0,0,0,False,,
1509,Gusto,https://opgg-static.akamaized.net/meta/images/lol/item/1509.png,False,,,0,0,0,False,,
1510,Phreakish Gusto,https://opgg-static.akamaized.net/meta/images/lol/item/1510.png,False,,,0,0,0,False,,
1511,Super Mech Armor,https://opgg-static.akamaized.net/meta/images/lol/item/1511.png,False,,,0,0,0,False,,
1512,Super Mech Power Field,https://opgg-static.akamaized.net/meta/images/lol/item/1512.png,False,,,0,0,0,False,,
1515,Turret Plating,https://opgg-static.akamaized.net/meta/images/lol/item/1515.png,False,,,0,0,0,False,,
1516,Structure Bounty,https://opgg-static.akamaized.net/meta/images/lol/item/1516.png,False,,,0,0,0,False,,
1517,Structure Bounty,https://opgg-static.akamaized.net/meta/images/lol/item/1517.png,False,,,0,0,0,False,,
1518,Structure Bounty,https://opgg-static.akamaized.net/meta/images/lol/item/1518.png,False,,,0,0,0,False,,
1519,Structure Bounty,https://opgg-static.akamaized.net/meta/images/lol/item/1519.png,False,,,0,0,0,False,,
1520,OvererchargedHA,https://opgg-static.akamaized.net/meta/images/lol/item/1520.png,False,,,0,0,0,False,,
1521,Fortification,https://opgg-static.akamaized.net/meta/images/lol/item/1521.png,False,,,0,0,0,False,,
1522,Tower Power-Up,https://opgg-static.akamaized.net/meta/images/lol/item/1522.png,False,,,0,0,0,False,,
2003,Health Potion,https://opgg-static.akamaized.net/meta/images/lol/item/2003.png,False,,,20,50,50,True,Consume to restore Health over time,<mainText><stats></stats><active>Active - Consume:</active> Drink the potion to restore <healing>120 Health</healing> over 15 seconds.<br><br><rules>You may carry up to 5 Health Potions.</rules></mainText><br>
2010,Total Biscuit of Everlasting Will,https://opgg-static.akamaized.net/meta/images/lol/item/2010.png,False,,,5,50,50,False,,<mainText><stats></stats><active>Active - Consume:</active> Eat the biscuit to restore <healing>8% missing Health</healing> and <scaleMana>Mana</scaleMana> over 5 seconds. Consuming or selling a biscuit permanently grants <scaleMana>40 maximum Mana</scaleMana>. </mainText><br>
2015,Kircheis Shard,https://opgg-static.akamaized.net/meta/images/lol/item/2015.png,False,"[3095, 3094, 3087]",[1036],490,700,350,True,Attack speed and a chargable magic hit,<mainText><stats><attention>15</attention> Attack Damage</stats><br><li><passive>Energized:</passive> Moving and Attacking will generate an Energized Attack.<li><passive>Jolt:</passive> Energized Attacks gain an additional <magicDamage>60 magic damage</magicDamage>.</mainText><br>
2019,Steel Sigil,https://opgg-static.akamaized.net/meta/images/lol/item/2019.png,False,,[1037],770,1100,225,False,,<mainText><stats><attention>30</attention> Attack Damage</stats><br><li><passive>Feast:</passive> Killing a unit restores health.</mainText><br>
2031,Refillable Potion,https://opgg-static.akamaized.net/meta/images/lol/item/2031.png,False,[2033],,60,150,150,True,Restores Health over time. Refills at shop.,<mainText><stats></stats><active>Active - Consume:</active> Consumes a charge to restore <healing>100 Health</healing> over 12 seconds. Holds up to 2 charges and refills upon visiting the shop.</mainText><br>
2033,Corrupting Potion,https://opgg-static.akamaized.net/meta/images/lol/item/2033.png,False,,[2031],200,500,350,True,Restores Health and Mana over time and boosts combat power - Refills at Shop,"<mainText><stats></stats><active>Active - Consume:</active> Consumes a charge to restore <healing>100 Health</healing> and <scaleMana>75 Mana</scaleMana> over 12 seconds. During this time, damaging Abilities and Attacks burn enemy champions for <magicDamage>15 (20 if you cannot gain Mana) magic damage</magicDamage> over 3 seconds. Holds up to 3 charges and refills upon visiting the shop.<br><br><rules>Corrupting damage is reduced to 50% when triggered by area of effect or periodic damage.</rules></mainText><br>"
2049,Guardian's Amulet,https://opgg-static.akamaized.net/meta/images/lol/item/2049.png,False,,,700,1000,1000,True,Increases Health and provides Stealth Wards over time,"<mainText><stats><attention>20%</attention> Heal and Shield Power<br><attention>20</attention> Ability Power<br><attention>25</attention> Ability Haste</stats><br><li><passive>Recovery:</passive> Restores <scaleMana>10 Mana</scaleMana> every 5 seconds. If you can't gain mana, restores <healing>3 Health</healing> instead.<li><passive>Legendary:</passive> This item counts as a <rarityLegendary>Legendary</rarityLegendary> item.</mainText><br>"
2050,Guardian's Shroud,https://opgg-static.akamaized.net/meta/images/lol/item/2050.png,False,,,700,1000,1000,True,,<mainText><stats><attention>350</attention> Health<br><attention>30</attention> Ability Power<br><attention>15</attention> Ability Haste</stats><br><li><passive>Legendary:</passive> This item counts as a <rarityLegendary>Legendary</rarityLegendary> item.</mainText><br>
2051,Guardian's Horn,https://opgg-static.akamaized.net/meta/images/lol/item/2051.png,False,,,665,950,950,True,Good starting item for tanks,<mainText><stats><attention>150</attention> Health</stats><br><li><passive>Recovery:</passive> Restores Health over time.<li><passive>Undaunted:</passive> Blocks damage from attacks and spells from champions.<li><passive>Legendary:</passive> This item counts as a <rarityLegendary>Legendary</rarityLegendary> item.</mainText><br>
2052,Poro-Snax,https://opgg-static.akamaized.net/meta/images/lol/item/2052.png,False,,,0,0,0,False,,"<mainText><stats></stats><active>Active - Consume:</active> Serves a scrumptious scoop to a nearby Poro, causing it to grow in size.<br><br><flavorText>This savory blend of free-range, grass-fed Avarosan game hens and organic, non-ZMO Freljordian herbs contains the essential nutrients necessary to keep your Poro purring with pleasure.<br><br>All proceeds will be donated towards fighting Noxian animal cruelty. </flavorText></mainText><br>"
2055,Control Ward,https://opgg-static.akamaized.net/meta/images/lol/item/2055.png,False,,,30,75,75,True,Used to disable wards and invisible traps in an area.,"<mainText><stats></stats><active>Active - Consume:</active> Places a powerful Control Ward that grants vision of the surrounding area. This device will also reveal <keywordStealth>Invisible</keywordStealth> traps, reveal <keywordStealth>Camouflaged</keywordStealth> enemies, and reveal (and disable) enemy Stealth Wards. <br><br><rules>You may carry up to 2 Control Wards. Control Wards do not disable other Control Wards.</rules></mainText><br>"
2065,Shurelya's Battlesong,https://opgg-static.akamaized.net/meta/images/lol/item/2065.png,True,[7020],"[3067, 4642]",1610,2300,550,True,Activate to speed up nearby allies.,<mainText><stats><attention>35</attention> Ability Power<br><attention>200</attention> Health<br><attention>20</attention> Ability Haste<br><attention>100%</attention> Base Mana Regen</stats><br><br><active>Active -</active> <active>Inspire:</active> Grants nearby allies Move Speed.<li><passive>Motivate:</passive> Empowering or Protecting another ally Champion grants both allies Move Speed.<br><br><rarityMythic>Mythic Passive:</rarityMythic> Grants all other <rarityLegendary>Legendary</rarityLegendary> items Ability Haste.<br></mainText><br>
2138,Elixir of Iron,https://opgg-static.akamaized.net/meta/images/lol/item/2138.png,False,,,200,500,500,True,Temporarily increases defenses. Leaves a trail for allies to follow.,"<mainText><stats></stats><active>Active - Consume:</active> Drink to gain <scaleHealth>300 Health</scaleHealth>, 25% Tenacity, and increased champion size for 3 minutes. While active, moving leaves a path behind that boosts allied champions' <speed>Move Speed by 15%</speed>.<br><br><rules>Drinking a different Elixir will replace the existing one's effects.</rules></mainText><br>"
2139,Elixir of Sorcery,https://opgg-static.akamaized.net/meta/images/lol/item/2139.png,False,,,200,500,500,True,Temporarily grants Ability Power and Bonus Damage to champions and turrets.,"<mainText><stats></stats><active>Active - Consume:</active> Drink to gain <scaleAP>50 Ability Power</scaleAP> and <scaleMana>15% Mana Regen</scaleMana> for 3 minutes. While active, damaging a champion or turret deals <trueDamage>25 bonus true damage</trueDamage> (5s cooldown).<br><br><rules>Champion level <attention>9</attention> or greater required to purchase. Elixir of Sorcery's true damage effect has no cooldown when attacking turrets. Drinking a different Elixir will replace the existing one's effects.</rules></mainText><br>"
2140,Elixir of Wrath,https://opgg-static.akamaized.net/meta/images/lol/item/2140.png,False,,,200,500,500,True,Temporarily grants Attack Damage and heals you when dealing physical damage to champions.,<mainText><stats></stats><active>Active - Consume:</active> Drink to gain <scaleAD>30 Attack Damage</scaleAD> and <lifeSteal>12% Physical Vamp</lifeSteal> (against champions) for 3 minutes.<br><br><rules>Drinking a different Elixir will replace the existing one's effects.</rules></mainText><br>
2141,Cappa Juice,https://opgg-static.akamaized.net/meta/images/lol/item/2141.png,False,,,700,700,700,True,,"<mainText><stats></stats><active>Active - Consume:</active> This juice does nothing.<br><br><flavorText>For a limited time only, get a free hat with every purchase!</flavorText><br><br><rules>Helps you get on a head.</rules></mainText><br>"
2142,Juice of Power,https://opgg-static.akamaized.net/meta/images/lol/item/2142.png,False,,,700,700,700,True,,"<mainText><stats></stats><active>Active - Consume:</active> Automatically activates on Combat Start. Drink to gain <scaleAP>30+ 10% bonus Ability Power</scaleAP> or <scaleAD>18+ 10% bonus Attack Damage</scaleAD> for the next round.<br><br><flavorText>Made with 100% real cherries. Warning: May cause imbiber to deal tons of damage.</flavorText><br><br><rules>Juices do not stack with themselves, but you can have multiple different ones active.</rules></mainText><br>"
2143,Juice of Vitality,https://opgg-static.akamaized.net/meta/images/lol/item/2143.png,False,,,700,700,700,True,,"<mainText><stats></stats><active>Active - Consume:</active> Automatically activates on Combat Start. Drink to gain <healing>300+ 10% Health</healing> for the next round.<br><br><flavorText>Our specially formulated veggie blend is proven to harden your skin to resist even the strongest attacks!</flavorText><br><br><rules>Juices do not stack with themselves, but you can have multiple different ones active.</rules></mainText><br>"
2144,Juice of Haste,https://opgg-static.akamaized.net/meta/images/lol/item/2144.png,False,,,700,700,700,True,,"<mainText><stats></stats><active>Active - Consume:</active> Automatically activates on Combat Start. Drink to gain <speed>20+ 15% Ability Haste</speed> for the next round.<br><br><flavorText>For people who gotta go FAST. Made with lightning. REAL lightning!</flavorText><br><br><rules>Juices do not stack with themselves, but you can have multiple different ones active.</rules></mainText><br>"
2403,Minion Dematerializer,https://opgg-static.akamaized.net/meta/images/lol/item/2403.png,False,,,0,0,0,False,,<mainText><stats></stats><active>Active - Consume:</active> Kill target lane minion (10s ).</mainText><br>
2419,Commencing Stopwatch,https://opgg-static.akamaized.net/meta/images/lol/item/2419.png,False,"[2420, 3157, 3026]",,0,0,0,False,,<mainText><stats></stats><li>Transforms into a <rarityGeneric>Stopwatch</rarityGeneric> after 14 minutes. Takedowns reduce this timer by 2 minutes. That <rarityGeneric>Stopwatch</rarityGeneric> contributes 250 gold to the items it builds into.<br><br><rules>Stopwatch normally contributes 750 gold</rules></mainText><br>
2420,Stopwatch,https://opgg-static.akamaized.net/meta/images/lol/item/2420.png,False,"[3026, 3157]",,300,750,750,True,Activate to become invincible but unable to take actions,"<mainText><stats></stats><active>Active -</active> <active>Stasis:</active> Use one time only to become <status>Invulnerable</status> and <status>Untargetable</status> for 2.5 seconds, but are prevented from taking any other actions during this time (transforms into a <rarityGeneric>Broken Stopwatch</rarityGeneric>).</mainText><br>"
2421,Broken Stopwatch,https://opgg-static.akamaized.net/meta/images/lol/item/2421.png,False,"[3157, 3026]",,300,750,750,True,Upgrades to stopwatch,"<mainText><stats></stats><br><li><passive>Shattered Time:</passive> Stopwatch is broken, but can still be upgraded.<br><br><rules>After breaking one Stopwatch, the shopkeeper will only sell you <rarityGeneric>Broken Stopwatches.</rarityGeneric></rules></mainText><br>"
2422,Slightly Magical Footwear,https://opgg-static.akamaized.net/meta/images/lol/item/2422.png,False,"[3006, 3047, 3020, 3158, 3111, 3117, 3009]",,90,300,300,False,,<mainText><stats><attention>25</attention> Move Speed</stats><br><li>Grants an additional <speed>10 Move Speed</speed>. Boots that build from Slightly Magical Footwear retain this bonus Move Speed.</mainText><br>
2423,Perfectly Timed Stopwatch,https://opgg-static.akamaized.net/meta/images/lol/item/2423.png,False,"[3157, 3026]",,300,750,750,False,Activate to become invincible but unable to take actions,"<mainText><stats></stats><active>Active -</active> <active>Stasis:</active> Use one time only to become <status>Invulnerable</status> and <status>Untargetable</status> for 2.5 seconds, but are prevented from taking any other actions during this time (transforms into a <rarityGeneric>Broken Stopwatch</rarityGeneric>).</mainText><br>"
2424,Broken Stopwatch,https://opgg-static.akamaized.net/meta/images/lol/item/2424.png,False,"[3157, 3026]",,300,750,750,False,,"<mainText><stats></stats><br><li><passive>Shattered Time:</passive> Stopwatch is broken, but can still be upgraded.<br><br><rules>After breaking one Stopwatch, the shopkeeper will only sell you <rarityGeneric>Broken Stopwatches.</rarityGeneric></rules></mainText><br>"
3001,Evenshroud,https://opgg-static.akamaized.net/meta/images/lol/item/3001.png,True,[7023],"[3023, 1033]",1610,2300,800,True,Nearby enemies take more magic damage,"<mainText><stats><attention>200</attention> Health<br><attention>30</attention> Armor<br><attention>30</attention> Magic Resist<br><attention>20</attention> Ability Haste</stats><br><li><passive>Coruscation:</passive> After <status>Immobilizing</status> champions or being <status>Immobilized</status>, cause that target and all nearby enemy Champions to take increased damage.<br><br><rarityMythic>Mythic Passive:</rarityMythic> Grants all other <rarityLegendary>Legendary</rarityLegendary> items <attention> Armor and Magic Resist</attention></mainText><br>"
3003,Archangel's Staff,https://opgg-static.akamaized.net/meta/images/lol/item/3003.png,False,,"[3070, 3067, 1058]",2100,3000,550,True,Increases Ability Power based on maximum Mana,"<mainText><stats><attention>70</attention> Ability Power<br><attention>500</attention> Mana<br><attention>200</attention> Health<br><attention>10</attention> Ability Haste</stats><br><li><passive>Awe:</passive> Gain Ability Power equal to bonus Mana.<li><passive>Mana Charge:</passive> Strike a target with an Ability to consume a charge and gain 3 bonus Mana, doubled if the target is a champion. Grants a maximum of 360 Mana at which point this item transforms into <rarityLegendary>Seraph's Embrace</rarityLegendary>.<br><br><rules>Gain a new <passive>Mana Charge</passive> every 8 seconds (max 4).</rules></mainText><br>"
3004,Manamune,https://opgg-static.akamaized.net/meta/images/lol/item/3004.png,False,,"[3070, 3133, 1036]",2030,2900,1050,True,Increases Attack Damage based on maximum Mana,"<mainText><stats><attention>35</attention> Attack Damage<br><attention>500</attention> Mana<br><attention>15</attention> Ability Haste</stats><br><li><passive>Awe:</passive> Gain bonus <scaleAD>Attack Damage equal to your max Mana</scaleAD>. <li><passive>Mana Charge:</passive> Strike a target with an Ability or Attack to consume a charge and gain <scaleMana>3 bonus Mana</scaleMana>, doubled if the target is a champion. Grants a maximum of 360 Mana at which point this item transforms into <rarityLegendary>Muramana</rarityLegendary>.<br><br><rules>Gain a new <passive>Mana Charge</passive> every 8 seconds (max 4).</rules></mainText><br>"
3006,Berserker's Greaves,https://opgg-static.akamaized.net/meta/images/lol/item/3006.png,False,,"[1001, 1042]",770,1100,500,True,Enhances Move Speed and Attack Speed,<mainText><stats><attention>35%</attention> Attack Speed<br><attention>45</attention> Move Speed</stats></mainText><br>
3009,Boots of Swiftness,https://opgg-static.akamaized.net/meta/images/lol/item/3009.png,False,,[1001],630,900,600,True,Enhances Move Speed and reduces the effect of slows,<mainText><stats><attention>60</attention> Move Speed</stats><br><li>The strength of movement slowing effects is reduced by 25%.</mainText><br>
